pid,timestamp,syscall_name,syscall,arg1,arg2,arg3,return_value
682.0,1752447511.8800328,execve,59.0,140727271607104.0,140727271607936.0,140727271607960.0,-2
682.0,1752447511.8803542,execve,59.0,140727271607104.0,140727271607936.0,140727271607960.0,-2
682.0,1752447511.8804603,execve,59.0,140727271607104.0,140727271607936.0,140727271607960.0,-2
682.0,1752447511.8805976,execve,59.0,140727271607104.0,140727271607936.0,140727271607960.0,0
682.0,1752447511.880801,execve,59.0,0.0,0.0,0.0,-38
682.0,1752447511.8808937,unknown,12.0,0.0,138128238934552.0,0.0,-38
682.0,1752447511.8810458,mmap,9.0,0.0,8192.0,3.0,-38
682.0,1752447511.8811543,unknown,21.0,138128238904752.0,4.0,107080829242056.0,-38
682.0,1752447511.8812535,openat,257.0,4294967196.0,138128238900111.0,524288.0,-38
682.0,1752447511.8813345,fstat,5.0,3.0,140724837225600.0,524288.0,-38
682.0,1752447511.8814287,mmap,9.0,0.0,19567.0,1.0,-38
682.0,1752447511.881529,close,3.0,3.0,19567.0,1.0,-38
682.0,1752447511.8816779,openat,257.0,4294967196.0,138128238702912.0,524288.0,-38
682.0,1752447511.8817892,read,0.0,3.0,140724837226168.0,832.0,-38
682.0,1752447511.8819065,fstat,5.0,3.0,140724837225808.0,3.0,-38
682.0,1752447511.8820279,mmap,9.0,0.0,181960.0,1.0,-38
682.0,1752447511.8821557,mmap,9.0,138128238522368.0,118784.0,5.0,-38
682.0,1752447511.8822546,mmap,9.0,138128238641152.0,24576.0,1.0,-38
682.0,1752447511.8823705,mmap,9.0,138128238665728.0,8192.0,3.0,-38
682.0,1752447511.8824887,mmap,9.0,138128238673920.0,5832.0,3.0,-38
682.0,1752447511.88265,close,3.0,3.0,138128238702960.0,138128238498560.0,-38
682.0,1752447511.8827674,openat,257.0,4294967196.0,138128238704272.0,524288.0,-38
682.0,1752447511.8829322,read,0.0,3.0,140724837226136.0,832.0,-38
682.0,1752447511.883308,unknown,17.0,3.0,140724837225136.0,784.0,-38
682.0,1752447511.8833935,fstat,5.0,3.0,140724837225776.0,3.0,-38
